level_1,level_2,level_3,level_4,level_5,level_6,collection_description,collection_editorial_url,collection_editorial_type,is_homepage,product_name,product_description,brand,price,price_visible,asset_1_url,asset_1_type,asset_2_url,asset_2_type,asset_3_url,asset_3_type,asset_4_url,asset_4_type,min_order_qty,sold_out
Curated Gift Sets,Decor,Serveware,,,,Jaipur Scarlet Square Platter,https://drive.google.com/file/d/1LmxgKXLxGREI0mVZfs8WJM8KqxkqOgPH/view?usp=sharing,image,no,Jaipur Scarlet Square Platter,,Vvyom,2100,yes,https://drive.google.com/file/d/1LmxgKXLxGREI0mVZfs8WJM8KqxkqOgPH/view?usp=sharing,image,,,,,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Oval Platter with tong set in 3 colours,https://drive.google.com/file/d/19pZaJW-Bs3Ge-7JuK8XvWUQoGmFTTz16/view?usp=sharing,image,no,Oval Platter with tong set in 3 colours,,Vvyom,2300,yes,https://drive.google.com/file/d/19pZaJW-Bs3Ge-7JuK8XvWUQoGmFTTz16/view?usp=sharing,image,https://drive.google.com/file/d/1r8xE8N4nygLTij-l8FI0G2yG5rJR8s7s/view?usp=sharing,image,https://drive.google.com/file/d/1OqJjKe2JHSg4tiiUJZiGUeQtJLLcmUOu/view?usp=sharing,image,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Serving Tray in 3 colours,https://drive.google.com/file/d/1fNwdG1TYTRjhzAtW0w-rs_lWaSYPpDQw/view?usp=sharing,image,no,Serving Tray in 3 colours,,Vvyom,2500,yes,https://drive.google.com/file/d/1fNwdG1TYTRjhzAtW0w-rs_lWaSYPpDQw/view?usp=sharing,image,https://drive.google.com/file/d/1m2YvA4t9-6b-Y0YG_vYjId1NdiqGW0IJ/view?usp=sharing,image,https://drive.google.com/file/d/1bGC9nqmjFaYIm3uQtxN6n4giNI-wRNow/view?usp=sharing,image,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Platter with Dipping bowl in 3 colours,https://drive.google.com/file/d/1R3mY3KnxdL-uYh_T0kqN86dbo3B3sY-9/view?usp=sharing,image,no,Platter with Dipping bowl in 3 colours,,Vvyom,2800,yes,https://drive.google.com/file/d/1R3mY3KnxdL-uYh_T0kqN86dbo3B3sY-9/view?usp=sharing,image,https://drive.google.com/file/d/1fjIutMbgxLPqgOxCy1qfY3usvf5FlaXc/view?usp=sharing,image,https://drive.google.com/file/d/1SpT0VTlc30a3-kjNkmf_5r98zN-fzqPa/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Decor,Serveware,,,,Brass Glasses set of 6,https://drive.google.com/file/d/1HpB0e5zYKMOM2Bg0bYkvNAIqFsCX6MSl/view?usp=sharing,image,no,Brass Glasses set of 6,,Vvyom,4300,yes,https://drive.google.com/file/d/1HpB0e5zYKMOM2Bg0bYkvNAIqFsCX6MSl/view?usp=sharing,image,https://drive.google.com/file/d/1v0cWJgv7oS_XxUnlFot51wqGETBUYcQT/view?usp=sharing,image,https://drive.google.com/file/d/1De0FGtiJZ4ml_8-lqDsano2ZRqtb9nmG/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Decor,Serveware,,,,Brass bowls - Set of 6,https://drive.google.com/file/d/1ZbQsWvxpQLgo_e9HaMWtIp6T5olIYvBn/view?usp=sharing,image,no,Brass bowls - Set of 6,,Vvyom,4300,yes,https://drive.google.com/file/d/1ZbQsWvxpQLgo_e9HaMWtIp6T5olIYvBn/view?usp=sharing,image,https://drive.google.com/file/d/14pz-ydGc95LFzvEB-okXNF7bwXUr9DHk/view?usp=sharing,image,https://drive.google.com/file/d/1EH3VdLc9f05Csp4mdkD8n7K8sMK9NRU9/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Fragrances,Candles,,,,Brass Lotus Scented Candle,https://drive.google.com/file/d/1i0DPZQ77uBhRgflwXsCW6noJe1Dglbz9/view?usp=sharing,image,no,Brass Lotus Scented Candle,,Vvyom,1400,yes,https://drive.google.com/file/d/1i0DPZQ77uBhRgflwXsCW6noJe1Dglbz9/view?usp=sharing,image,https://drive.google.com/file/d/1rsFqfqOjPZexXVPn70zZCrdIQjRB6ZST/view?usp=sharing,image,https://drive.google.com/file/d/1mxl7hPyd1R7YSzOj2YS9CIx0xfUtinSn/view?usp=sharing,image,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Gold,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 230 gms Burn Time: 45 hours Colour: Clear Lid: Mango Wood",AW Apothecary,1550,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Gold_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Gold_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Reed Diffuser,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 100ml Duration: 6 to 9 Months (Approx.) Lid: Gold",AW Apothecary,1450,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Reed_Diffuser_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Reed_Diffuser_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Grande,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 500 g Burn Time: 45 hours Colour: Clear Lid: Mango Wood",AW Apothecary,2575,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Grande_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Grande_2.jpg,image,,,,,10,no
